Artista,Álbum,Formato,Observações
Funeral Nation,Reign Of Death/The Abomination Tapes 1987,CD,
Funeratus,Storm Of Vengeance/Echoes In Eternity,CD,"Digipak, 2 em 1"
Goatpenis,Apocalypse War,CD,
Goatpenis,Atomic Rituals II,CD,
Goatpenis,Biochemterrorism,CD,
Goatpenis,Flesh Consumed In The Battlefield,CD,
Goatpenis,htaeD No tabbaS,CD,
Gorement,Within The Shadows Of Darkness,CD,"Digipak, 2 CDs"
Gorgoroth,Pentagram,CD,
Gorgoroth,Under The Sign Of Hell,CD,
Grand Belial's Key,Mocking The Philantropist,CD,
Graveland,Carpathian Wolves,CD,"2 cds, digipak"
Great Vast Forest,Battletales And Songs Of Steel,CD,Digipak com Slipcase
Great Vast Forest,The Years Of Cold Winter And Darkness,CD,Digipak
Grim Reaper,Fear No Evil,CD,The Grimm Chronicles 1983 - 1987
Grim Reaper,Rock You To Hell,CD,The Grimm Chronicles 1983 - 1987
Grim Reaper,See You In Hell,CD,The Grimm Chronicles 1983 - 1987
Gulag,Subservent Consanguinity,CD,
Guns N'Roses,Appetite For Destruction,CD,
Guns N'Roses,Lies/Live Like A Suicide,CD,
Guns N'Roses,Use Your Illusion I,CD,
Guns N'Roses,Use Your Illusion II,CD,
Hallows Eve,Tales Of Terror,CD,
Havok,Blessing The Flames With Sacrosanct Blood,CD,
Havok 666,Sodomized By Divine Order,CD,
Hellhammer,Apocalyptic Raids,CD,
Holocausto,War Metal In Belo Horizonte Live In Brazilian Ritual Fifth Attack,CD + DVD,
Holocausto,War Metal Massacre,CD,
Hooded Menace,Ossuarium Silhouettes Unhallowed,CD,
Impurity,All In The Name Of Satan,CD,
Impurity,The Lamb's Fury,CD,Digipak
In Hell,Suffering In Hell,CD,
Infamous Glory,Bloodfeast,CD,
Iron Maiden,A Matter Of Life And Death,CD,
Iron Maiden,Best Of The Beast,CD,
Iron Maiden,Brave New World,CD,
Iron Maiden,Fear Of The Dark,CD,
Iron Maiden,Killers,CD,
Iron Maiden,Live After Death,CD,2 CDs
Iron Maiden,Live At Donington,CD,
Iron Maiden,No Prayer For The Dying,CD,
Iron Maiden,Piece Of Mind,CD,
Iron Maiden,Seventh Son Of A Seventh Son,CD,
Iron Maiden,Somewhere Back In Time The Best Of: 1980-1989,CD,
Iron Maiden,Somewhere In Time,CD,
Iron Maiden,Somewhere In Time,CD,
Iron Maiden,The Number Of The Beast,CD,
Iron Maiden,Virtual XI,CD,
John Taylor,Feelings Are Good And Other Lies,CD,
Judas Priest,Angel Of Retribution,CD,
Judas Priest,British Steel,CD,
Judas Priest,Defenders Of The Faith,CD,
Judas Priest,Demolition,CD,
Judas Priest,Painkiller,CD,
Judas Priest,Priest... Live!,CD,
Judas Priest,Screaming For Vengeance,CD,
Justabeli,Cause The War Never Ends...,CD,
Kanvass,Downfall Of Individuality,CD,
Kanvass,Generation Of Deserters,CD,Digipak
Katatonia,Brave Murder Day,CD,
Katatonia,Dance Of December Souls,CD,
Katatonia,Discouraged Ones,CD,Digipak
Katavasia,Magnus Venator,CD,
Khaotic,Tenebrae,CD,
Khaotic,The Antithesis,CD,
King Diamond,Deadly Lullabyes Live,CD,2 CDs
King Diamond,The Graveyard,CD,
King Diamond,Them,CD,"Digipak, Réplica de LP"
KISS,Alive III,CD,
KISS,Destroyer,CD,
KISS,Destroyer (Resurrected),CD,
KISS,Double Platinum,CD,
KISS,Dressed To Kill,CD,
KISS,Hotter Than Hell,CD,
KISS,KISS,CD,
KISS,Lick It Up,CD,
KISS,Psycho Circus,CD,
KISS,Revenge,CD,
Kix,Live,CD,
Kreator,Terrible Certainty,CD,
Krisiun,Ageless Venomous,CD,
Krisiun,Apocalyptic Revelation,CD,
Krisiun,Assassination,CD,
Krisiun,Black Force Domain,CD,
Krisiun,Southern Storm,CD,
